Messe;Halle;Sektor;Standnummer;Kunde;Kommission;Auftragsmenge;Kurztext;Interner Text;Artikel-Nr.;Liefertermin (Möbel);Uhrzeit Lieferung;Kontakt vor Ort;Obergruppe;Verantwortlich;Nummer;Veranstaltungsbeginn;Datum;Person/Zeichen;Auftragsart
ABC Salon 2026, MOC;Atrium 3;;C112;Très Chic Bridal Wear, Hengevelde;;5,00;Stehtisch YPSILON HIGH weiß;;1473;;;;Möbel;Sophia Kistler;551895;01.03.2026;14.01.2026;Sophia Kistler;Möbel
ABC Salon 2026, MOC;Atrium 3;;C112;Très Chic Bridal Wear, Hengevelde;;2,00;Lagerregal RACK alu;;1166;;;;Möbel;Sophia Kistler;551895;01.03.2026;14.01.2026;Sophia Kistler;Möbel
ABC Salon 2026, MOC;Atrium 3;;C115+C116;JARICE, Denderleeuw/Belgien;;28,00;Stuhl MUNICH anthrazit;;1214;;;;Möbel;Angelo Schmidbauer;552126;01.03.2026;23.01.2026;Julia Walch;Standbau
ABC Salon 2026, MOC;Atrium 3;;C115+C116;JARICE, Denderleeuw/Belgien;;7,00;Tisch MILANO grau;;1464;;;;Möbel;Angelo Schmidbauer;552126;01.03.2026;23.01.2026;Julia Walch;Standbau
ABC Salon 2026, MOC;Atrium 3;;C115+C116;JARICE, Denderleeuw/Belgien;;1,00;Sideboard DADO grau;;1384;;;;Möbel;Angelo Schmidbauer;552126;01.03.2026;23.01.2026;Julia Walch;Standbau
ABC Salon 2026, MOC;Atrium 3;;C115+C116;JARICE, Denderleeuw/Belgien;;1,00;Kühlschrank COOL M (140);weiß/grau;1100;;;;Möbel;Angelo Schmidbauer;552126;01.03.2026;23.01.2026;Julia Walch;Standbau
ABC Salon 2026, MOC;Atrium 3;;D102;Azuree Bridal B.V., Huizen;;16,00;Stuhl MUNICH anthrazit;in Sitzgruppe;1214;;;;Möbel;Angelo Schmidbauer;551717;01.03.2026;18.12.2025;Julia Walch;Standbau
ABC Salon 2026, MOC;Atrium 3;;D102;Azuree Bridal B.V., Huizen;;4,00;MUNICH 70x70 Tischgestell, chrom;für PLatte 70x70 weiß;2043;;;;Möbel;Angelo Schmidbauer;551717;01.03.2026;18.12.2025;Julia Walch;Standbau
ABC Salon 2026, MOC;Atrium 3;;D102;Azuree Bridal B.V., Huizen;;4,00;MUNICH 70x70 Platte weiß;für Gestell 70x70 chrom;2045;;;;Möbel;Angelo Schmidbauer;551717;01.03.2026;18.12.2025;Julia Walch;Standbau
ABC Salon 2026, MOC;Atrium 3;;D102;Azuree Bridal B.V., Huizen;;1,00;Kühlschrank COOL M (140);weiß/grau;1100;;;;Möbel;Angelo Schmidbauer;551717;01.03.2026;18.12.2025;Julia Walch;Standbau
ABC Salon 2026, MOC;Atrium 4;;B102;MAGIC Bodyfashion BV, Almelo;;6,00;Stuhl KUADRA XL weiß;;1238;;;;Möbel;Angelo Schmidbauer;551827;01.03.2026;08.01.2026;Julia Walch;Standbau
ABC Salon 2026, MOC;Atrium 4;;B102;MAGIC Bodyfashion BV, Almelo;;2,00;PISA 120x80 Tischgestell chrom/schwarz;;2047;;;;Möbel;Angelo Schmidbauer;551827;01.03.2026;08.01.2026;Julia Walch;Standbau
ABC Salon 2026, MOC;Atrium 4;;B102;MAGIC Bodyfashion BV, Almelo;;2,00;PISA 120x80 Tischplatte weiß;;2094;;;;Möbel;Angelo Schmidbauer;551827;01.03.2026;08.01.2026;Julia Walch;Standbau
ABC Salon 2026, MOC;Atrium 4;;B102;MAGIC Bodyfashion BV, Almelo;;2,00;LEVANTE Fuß Höhe 75cm weiß;3 Stück / Spax 5x80 mm;2073;;;;Möbel;Angelo Schmidbauer;551827;01.03.2026;08.01.2026;Julia Walch;Standbau
ABC Salon 2026, MOC;Atrium 4;;B102;MAGIC Bodyfashion BV, Almelo;;1,00;LEVANTE 220x60 Platte weiß;für Sitztisch;2089;;;;Möbel;Angelo Schmidbauer;551827;01.03.2026;08.01.2026;Julia Walch;Standbau
ABC Salon 2026, MOC;Atrium 4;;B102;MAGIC Bodyfashion BV, Almelo;;1,00;Loungetisch LEVANTE LOW 90 weiß;;1403;;;;Möbel;Angelo Schmidbauer;551827;01.03.2026;08.01.2026;Julia Walch;Standbau
ABC Salon 2026, MOC;Atrium 4;;B102;MAGIC Bodyfashion BV, Almelo;;1,00;CLASSICO Sideboard weiß/alu;;1382;;;;Möbel;Angelo Schmidbauer;551827;01.03.2026;08.01.2026;Julia Walch;Standbau
ABC Salon 2026, MOC;Atrium 4;;B102;MAGIC Bodyfashion BV, Almelo;;1,00;CLASSICO Aufsatz für Bartheke;;2025;;;;Möbel;Angelo Schmidbauer;551827;01.03.2026;08.01.2026;Julia Walch;Standbau
ABC Salon 2026, MOC;Atrium 4;;B112;FRANK SAUL (FASHIONS) LTD, London;;12,00;Stuhl MUNICH anthrazit;in Sitzgruppe;1214;;;;Möbel;Sophia Kistler;551682;01.03.2026;17.12.2025;Sophia Kistler;Möbel
ABC Salon 2026, MOC;Atrium 4;;B112;FRANK SAUL (FASHIONS) LTD, London;;3,00;MUNICH 70x70 Tischgestell, chrom;für PLatte 70x70 weiß;2043;;;;Möbel;Sophia Kistler;551682;01.03.2026;17.12.2025;Sophia Kistler;Möbel
ABC Salon 2026, MOC;Atrium 4;;B112;FRANK SAUL (FASHIONS) LTD, London;;3,00;MUNICH 70x70 Platte weiß;für Gestell 70x70 chrom;2045;;;;Möbel;Sophia Kistler;551682;01.03.2026;17.12.2025;Sophia Kistler;Möbel
ABC Salon 2026, MOC;Atrium 4;;E110+E124;Euro Mode Donner GmbH, Westerburg;;32,00;Stuhl VITA weiß;;1231;;;;Möbel;Angelo Schmidbauer;552124;01.03.2026;21.01.2026;Julia Walch;Standbau
ABC Salon 2026, MOC;Atrium 4;;E110+E124;Euro Mode Donner GmbH, Westerburg;;8,00;ENNO 70x70 Tischplatte weiß;für Sitztischgestell chrom;2062;;;;Möbel;Angelo Schmidbauer;552124;01.03.2026;21.01.2026;Julia Walch;Standbau
ABC Salon 2026, MOC;Atrium 4;;E110+E124;Euro Mode Donner GmbH, Westerburg;;8,00;NINO/ENNO Sitztischgestell H75cm, chrom;für Platte 70x70 weiß;2055;;;;Möbel;Angelo Schmidbauer;552124;01.03.2026;21.01.2026;Julia Walch;Standbau
ABC Salon 2026, MOC;Atrium 4;;E110+E124;Euro Mode Donner GmbH, Westerburg;;1,00;Infotheke OCTA INFO 108 silber mit Türen;;1362;;;;Möbel;Angelo Schmidbauer;552124;01.03.2026;21.01.2026;Julia Walch;Standbau
ABC Salon 2026, MOC;Atrium 4;;E110+E124;Euro Mode Donner GmbH, Westerburg;;1,00;Bartheke OCTA ROUND;mit Kühlschrank COOL 140;1288;;;;Möbel;Angelo Schmidbauer;552124;01.03.2026;21.01.2026;Julia Walch;Standbau
ABC Salon 2026, MOC;Atrium 4;;E110+E124;Euro Mode Donner GmbH, Westerburg;;1,00;Barhocker ZETT schwarz;;1003;;;;Möbel;Angelo Schmidbauer;552124;01.03.2026;21.01.2026;Julia Walch;Standbau
ABC Salon 2026, MOC;Atrium 4;;E110+E124;Euro Mode Donner GmbH, Westerburg;;1,00;Kühlschrank COOL M (140);weiß/grau;1100;;;;Möbel;Angelo Schmidbauer;552124;01.03.2026;21.01.2026;Julia Walch;Standbau
ABC Salon 2026, MOC;Atrium 4;;E119;Amelie GmbH, Essen;;6,00;Stuhl VOLT weiß;;1269;;;;Möbel;Angelo Schmidbauer;552214;01.03.2026;23.01.2026;Julia Walch;Standbau
ABC Salon 2026, MOC;Atrium 4;;E119;Amelie GmbH, Essen;;15,00;MUNICH 70x70 Platte weiß;chrom;2045;;;;Möbel;Angelo Schmidbauer;552214;01.03.2026;23.01.2026;Julia Walch;Standbau
ABC Salon 2026, MOC;Atrium 4;;E119;Amelie GmbH, Essen;;15,00;MUNICH 70x70 Tischgestell, chrom;;2043;;;;Möbel;Angelo Schmidbauer;552214;01.03.2026;23.01.2026;Julia Walch;Standbau
ABC Salon 2026, MOC;Atrium 4;;E119;Amelie GmbH, Essen;;2,00;MUNICH 130x70 Platte weiß;für Gestell 130x70 chrom;2054;;;;Möbel;Angelo Schmidbauer;552214;01.03.2026;23.01.2026;Julia Walch;Standbau
ABC Salon 2026, MOC;Atrium 4;;E119;Amelie GmbH, Essen;;2,00;MUNICH 130x70 Tischgestell, chrom;für Platte 130x70 weiß;2052;;;;Möbel;Angelo Schmidbauer;552214;01.03.2026;23.01.2026;Julia Walch;Standbau
ABC Salon 2026, MOC;Atrium 4;;E119;Amelie GmbH, Essen;;1,00;Kühlschrank COOL L (300);;1101;;;;Möbel;Angelo Schmidbauer;552214;01.03.2026;23.01.2026;Julia Walch;Standbau
ABC Salon 2026, MOC;Atrium 4;;E119;Amelie GmbH, Essen;;60,00;Stuhl MUNICH anthrazit;;1214;;;;Möbel;Angelo Schmidbauer;552214;01.03.2026;23.01.2026;Julia Walch;Standbau
ABC Salon 2026, MOC;Atrium 4;;F106 ;LUXUAR GMBH;;4,00;TURIN/UDINE 120x80 Tischplatte weiß;;2082;;;;Möbel;Angelo Schmidbauer;551709;01.03.2026;07.01.2026;Julia Walch;Standbau
ABC Salon 2026, MOC;Atrium 4;;F106 ;LUXUAR GMBH;;16,00;TURIN Tisch Fuß;;2026;;;;Möbel;Angelo Schmidbauer;551709;01.03.2026;07.01.2026;Julia Walch;Standbau
ABC Salon 2026, MOC;Atrium 4;;F106 ;LUXUAR GMBH;;8,00;Stuhl VOLT weiß;;1269;;;;Möbel;Angelo Schmidbauer;551709;01.03.2026;07.01.2026;Julia Walch;Standbau
ABC Salon 2026, MOC;Atrium 4;;F106 ;LUXUAR GMBH;;8,00;Stuhl VOLT ARM weiß;;1921;;;;Möbel;Angelo Schmidbauer;551709;01.03.2026;07.01.2026;Julia Walch;Standbau
ABC Salon 2026, MOC;Atrium 4 ;;E107;PIQYOURDRESS, Zürich;;4,00;Stuhl MUNICH schwarz;;1219;;;;Möbel;Angelo Schmidbauer;552110;01.03.2026;21.01.2026;Julia Walch;Möbel
ABC Salon 2026, MOC;Atrium 4 ;;E107;PIQYOURDRESS, Zürich;;2,00;ENNO 160x70 Platte schwarz;;2063;;;;Möbel;Angelo Schmidbauer;552110;01.03.2026;21.01.2026;Julia Walch;Möbel
ABC Salon 2026, MOC;Atrium 4 ;;E107;PIQYOURDRESS, Zürich;;4,00;NINO/ENNO Sitztischgestell H75cm, chrom;;2055;;;;Möbel;Angelo Schmidbauer;552110;01.03.2026;21.01.2026;Julia Walch;Möbel
infotage FACHDENTAL Leipzig 2026;B;;10;Landesmesse Stuttgart GmbH & Co. KG, Stuttgart;Info;2,00;Barhocker KUADRA BAR weiß;;1540;;;;Möbel;Susanne Mameghani;551838;27.02.2026;12.01.2026;Julia Walch;Standbau
infotage FACHDENTAL Leipzig 2026;B;;B26;medentis medical GmbH, Bad Neuenahr-Ahrweiler;;1,00;NINO/ENNO Stehtischgestell H 110cm, chrom;für Platte 70 rund weiß;2057;;;;Möbel;Susanne Mameghani;551791;27.02.2026;07.01.2026;Julia Walch;Standbau
infotage FACHDENTAL Leipzig 2026;B;;B26;medentis medical GmbH, Bad Neuenahr-Ahrweiler;;1,00;NINO 70 Tischplatte rund weiß;für Stehtischgestell chrom;2061;;;;Möbel;Susanne Mameghani;551791;27.02.2026;07.01.2026;Julia Walch;Standbau
infotage FACHDENTAL Leipzig 2026;B;;B26;medentis medical GmbH, Bad Neuenahr-Ahrweiler;;2,00;Barhocker ZETT schwarz;in Stehgruppe;1003;;;;Möbel;Susanne Mameghani;551791;27.02.2026;07.01.2026;Julia Walch;Standbau
infotage FACHDENTAL Leipzig 2026;B;;B26;medentis medical GmbH, Bad Neuenahr-Ahrweiler;;2,00;Stuhl VITA weiß;;1231;;;;Möbel;Susanne Mameghani;551791;27.02.2026;07.01.2026;Julia Walch;Standbau
infotage FACHDENTAL Leipzig 2026;B;;B26;medentis medical GmbH, Bad Neuenahr-Ahrweiler;;1,00;Tisch MILANO weiß;;1465;;;;Möbel;Susanne Mameghani;551791;27.02.2026;07.01.2026;Julia Walch;Standbau
infotage FACHDENTAL Leipzig 2026;B;;B26;medentis medical GmbH, Bad Neuenahr-Ahrweiler;;1,00;CLASSICO Sideboard weiß/alu;;1382;;;;Möbel;Susanne Mameghani;551791;27.02.2026;07.01.2026;Julia Walch;Standbau
infotage FACHDENTAL Leipzig 2026;B;;B26;medentis medical GmbH, Bad Neuenahr-Ahrweiler;;1,00;CLASSICO Tischvitrinen-Aufsatz;;2078;;;;Möbel;Susanne Mameghani;551791;27.02.2026;07.01.2026;Julia Walch;Standbau
infotage FACHDENTAL Leipzig 2026;B;;B26;medentis medical GmbH, Bad Neuenahr-Ahrweiler;;1,00;Papierkorb DUSTIN schwarz;;1189;;;;Möbel;Susanne Mameghani;551791;27.02.2026;07.01.2026;Julia Walch;Standbau
infotage FACHDENTAL Leipzig 2026;B;;B32;Avior GMBH, Köln;;4,00;Stuhl MUNICH anthrazit;in Sitzgruppe;1214;;;;Möbel;Susanne Mameghani;551968;27.02.2026;15.01.2026;Julia Walch;Standbau
infotage FACHDENTAL Leipzig 2026;B;;B32;Avior GMBH, Köln;;1,00;MUNICH 70x70 Tischgestell, chrom;für PLatte 70x70 weiß;2043;;;;Möbel;Susanne Mameghani;551968;27.02.2026;15.01.2026;Julia Walch;Standbau
infotage FACHDENTAL Leipzig 2026;B;;B32;Avior GMBH, Köln;;1,00;MUNICH 70x70 Platte weiß;für Gestell 70x70 chrom;2045;;;;Möbel;Susanne Mameghani;551968;27.02.2026;15.01.2026;Julia Walch;Standbau
LOPEC 2026, München;B0;;104;FLEXOO GmbH, Heidelberg;;1,00;Thekenschrank PURO COUNTER, schwarz;;1387;;;;Möbel;Jan Ressel;551568;24.02.2026;08.12.2025;Jasna Pejic;Möbel
The smarter E 2026, München;B0;;155;Meplan, München;BeePlanet Factory S.L;2,00;NINO 70 Tischplatte rund weiß;für Sitztisch, chrom;2061;;;;Möbel;Sophia Kistler;551971;23.06.2026;16.01.2026;Sophia Kistler;Möbel
The smarter E 2026, München;B0;;155;Meplan, München;BeePlanet Factory S.L;2,00;NINO/ENNO Sitztischgestell H75cm, chrom;;2055;;;;Möbel;Sophia Kistler;551971;23.06.2026;16.01.2026;Sophia Kistler;Möbel
The smarter E 2026, München;B0;;155;Meplan, München;BeePlanet Factory S.L;4,00;Stuhl MUNICH hellgrau;;1217;;;;Möbel;Sophia Kistler;551971;23.06.2026;16.01.2026;Sophia Kistler;Möbel
LOPEC 2026, München;B0;;202;Meplan, München;Vitzrocell Co., Ltd., Vitzro B/D 5th Floor,;2,00;Tischvitrine VITREO CAB 102 silber;;1505;;;;Möbel;Jan Ressel;551373;24.02.2026;21.11.2025;Sophia Kistler;Möbel
LOPEC 2026, München;B0;;208;Meplan, München;PRINTUP;6,00;Prospektständer LEGIO 30;;1154;;;;Möbel;Jan Ressel;551546;24.02.2026;05.12.2025;Jasna Pejic;Möbel
LOPEC 2026, München;B0;;210.1;ARMOR SMART FILMS SAS, Nantes;;1,00;Prospektständer PLEXI;;1159;;;;Möbel;Jan Ressel;552184;24.02.2026;22.01.2026;Jasna Pejic;Möbel
LOPEC 2026, München;B0;;210.1;ARMOR SMART FILMS SAS, Nantes;;1,00;ENNO 70x70 Platte schwarz;für Sitztischgestell schwarz;2060;;;;Möbel;Jan Ressel;552184;24.02.2026;22.01.2026;Jasna Pejic;Möbel
LOPEC 2026, München;B0;;210.1;ARMOR SMART FILMS SAS, Nantes;;1,00;NINO/ENNO DARK Sitztischgestell H75cm, schwarz;für Platte 70x70 schwarz;2108;;;;Möbel;Jan Ressel;552184;24.02.2026;22.01.2026;Jasna Pejic;Möbel
LOPEC 2026, München;B0;;210.1;ARMOR SMART FILMS SAS, Nantes;;1,00;Tischvitrine PURO GLAS LIGHT;;1514;;;;Möbel;Jan Ressel;552184;24.02.2026;22.01.2026;Jasna Pejic;Möbel
LOPEC 2026, München;B0;;212;Meplan, München;VFP INK TECHNOLOGIES;1,00;Schrankvitrine VERDI 50 Ganzglas;;1501;;;;Möbel;Jan Ressel;551866;24.02.2026;12.01.2026;Sophia Kistler;Möbel
LOPEC 2026, München;B0;;212;Meplan, München;VFP INK TECHNOLOGIES;1,00;Lagerregal RACK alu;;1166;;;;Möbel;Jan Ressel;551866;24.02.2026;12.01.2026;Sophia Kistler;Möbel
LOPEC 2026, München;B0;;302;Meplan, München;Pröll Services GmbH;2,00;LEVANTE HIGH Fuß Höhe 110cm weiß;;2072;;;;Möbel;Jan Ressel;551268;24.02.2026;17.11.2025;Sophia Kistler;Möbel
LOPEC 2026, München;B0;;302;Meplan, München;Pröll Services GmbH;1,00;LEVANTE 120x60 Platte weiß;für Stehtisch;2074;;;;Möbel;Jan Ressel;551268;24.02.2026;17.11.2025;Sophia Kistler;Möbel
LOPEC 2026, München;B0;;302;Meplan, München;Pröll Services GmbH;1,00;LEVANTE 170x60 Platte weiß;für Stehtisch;2075;;;;Möbel;Jan Ressel;551268;24.02.2026;17.11.2025;Sophia Kistler;Möbel
LOPEC 2026, München;B0;;302;Meplan, München;Pröll Services GmbH;2,00;LEVANTE HIGH Fuß Höhe 110cm weiß;;2072;;;;Möbel;Jan Ressel;551268;24.02.2026;17.11.2025;Sophia Kistler;Möbel
LOPEC 2026, München;B0;;302;Meplan, München;Pröll Services GmbH;1,00;Flaschenkühlschrank BOTTLE M;;1092;;;;Möbel;Jan Ressel;551268;24.02.2026;17.11.2025;Sophia Kistler;Möbel
LOPEC 2026, München;B0;;304;Meplan, München;Sakurai Graphic Systems Corporation;2,00;MUNICH 110x70 Tischgestell, chrom;für Platte 110x70 weiß;2049;;;;Möbel;Sophia Kistler;552215;24.02.2026;23.01.2026;Sophia Kistler;Möbel
LOPEC 2026, München;B0;;304;Meplan, München;Sakurai Graphic Systems Corporation;2,00;MUNICH 110x70 Platte weiß;für Gestell 110x70 weiß;2051;;;;Möbel;Sophia Kistler;552215;24.02.2026;23.01.2026;Sophia Kistler;Möbel
LOPEC 2026, München;B0;;311;Meplan, München;Coveme SPA;1,00;Garderobenständer DONNA;;1049;;;;Möbel;Sophia Kistler;551987;24.02.2026;19.01.2026;Sophia Kistler;Möbel
LOPEC 2026, München;B0;;311;Meplan, München;Coveme SPA;1,00;Schrankvitrine GIGANTE 105;;1496;;;;Möbel;Sophia Kistler;551987;24.02.2026;19.01.2026;Sophia Kistler;Möbel
LOPEC 2026, München;B0;;316;Meplan, München;TracXon B.V;1,00;Lagerregal RACK alu;;1166;;;;Möbel;Jan Ressel;551978;24.02.2026;16.01.2026;Sophia Kistler;Möbel
LOPEC 2026, München;B0;;316;Meplan, München;TracXon B.V;1,00;Tischvitrine VITREO CAB 102 silber;;1505;;;;Möbel;Jan Ressel;551978;24.02.2026;16.01.2026;Sophia Kistler;Möbel
LOPEC 2026, München;B0;;403;Meplan, München;ShenZhen Hochuen ;1,00;CLASSICO Sideboard weiß/alu;;1382;;;;Möbel;Jan Ressel;551809;24.02.2026;08.01.2026;Jasna Pejic;Möbel
LOPEC 2026, München;B0;;403;Meplan, München;ShenZhen Hochuen ;1,00;CLASSICO Tischvitrinen-Aufsatz;;2078;;;;Möbel;Jan Ressel;551809;24.02.2026;08.01.2026;Jasna Pejic;Möbel
LOPEC 2026, München;B0;;404;Meplan, München;Nanoinitiative;1,00;NINO 70 Tischplatte rund weiß;für Stehtisch, chrom;2061;;;;Möbel;Jan Ressel;551835;24.02.2026;09.01.2026;Jasna Pejic;Möbel
LOPEC 2026, München;B0;;404;Meplan, München;Nanoinitiative;1,00;NINO/ENNO Stehtischgestell H 110cm, chrom;;2057;;;;Möbel;Jan Ressel;551835;24.02.2026;09.01.2026;Jasna Pejic;Möbel
LOPEC 2026, München;B0;;404;Meplan, München;Nanoinitiative;3,00;Barhocker ZETT weiß;;1004;;;;Möbel;Jan Ressel;551835;24.02.2026;09.01.2026;Jasna Pejic;Möbel
LOPEC 2026, München;B0;;510;Meplan, München;Witte plusprint GmbH;2,00;Tischvitrine VITREO CAB 102 silber;;1505;;;;Möbel;Jan Ressel;551439;24.02.2026;27.11.2025;Sophia Kistler;Möbel
LOPEC 2026, München;B0;;511;Akoneer, KönigswaldeVilnius;;4,00;Barhocker ZETT weiß;;1004;;;;Möbel;Jan Ressel;551771;24.02.2026;07.01.2026;Jasna Pejic;Möbel
LOPEC 2026, München;B0;;513;Meplan, München;Abeetle Corporation;2,00;Tischvitrine VITREO CAB 102 silber;;1505;;;;Möbel;Sophia Kistler;552163;24.02.2026;22.01.2026;Sophia Kistler;Möbel
LOPEC 2026, München;B0;;513;ABeetle Corporation, New Taipei City, Taiwan;;1,00;Prospektständer FILO;;1157;;;;Möbel;Jan Ressel;551843;24.02.2026;12.01.2026;Jasna Pejic;Möbel
LOPEC 2026, München;B0;;513;ABeetle Corporation, New Taipei City, Taiwan;;1,00;NINO 80 Tischplatte rund schwarz;für Sitztisch;2070;;;;Möbel;Jan Ressel;551843;24.02.2026;12.01.2026;Jasna Pejic;Möbel
LOPEC 2026, München;B0;;513;ABeetle Corporation, New Taipei City, Taiwan;;1,00;NINO/ENNO Sitztischgestell H75cm, chrom;für Platte 80cm schwarz;2055;;;;Möbel;Jan Ressel;551843;24.02.2026;12.01.2026;Jasna Pejic;Möbel
LOPEC 2026, München;B0;;606;Meplan, München;VTT Technical Research Centre of Finland;2,00;NINO 70 Tischplatte rund schwarz;für Stehtisch, chrom;2059;;;;Möbel;Sophia Kistler;552216;24.02.2026;26.01.2026;Sophia Kistler;Möbel
LOPEC 2026, München;B0;;606;Meplan, München;VTT Technical Research Centre of Finland;2,00;NINO/ENNO Stehtischgestell H 110cm, chrom;;2057;;;;Möbel;Sophia Kistler;552216;24.02.2026;26.01.2026;Sophia Kistler;Möbel
LOPEC 2026, München;B0;;606;Meplan, München;VTT Technical Research Centre of Finland;1,00;Lagerregal RACK alu;;1166;;;;Möbel;Sophia Kistler;552216;24.02.2026;26.01.2026;Sophia Kistler;Möbel
LOPEC 2026, München;B0;;610;Meplan, München;INM - Leibniz-Institut für Neue Materialien gGmbH;1,00;Stehtisch LIDO HIGH weiß;;1468;;;;Möbel;Jan Ressel;551446;24.02.2026;03.12.2025;Sophia Kistler;Möbel
LOPEC 2026, München;B0;;610;Meplan, München;INM - Leibniz-Institut für Neue Materialien gGmbH;1,00;LIDO Husse weiß;;2034;;;;Möbel;Jan Ressel;551446;24.02.2026;03.12.2025;Sophia Kistler;Möbel
LOPEC 2026, München;B0;;610;Meplan, München;INM - Leibniz-Institut für Neue Materialien gGmbH;1,00;Tischvitrine VITREO 145;;1507;;;;Möbel;Jan Ressel;551446;24.02.2026;03.12.2025;Sophia Kistler;Möbel
LOPEC 2026, München;B0;;610;Meplan, München;INM - Leibniz-Institut für Neue Materialien gGmbH;1,00;Bartheke OCTA BAR;mit Schiebetüren;1283;;;;Möbel;Jan Ressel;551446;24.02.2026;03.12.2025;Sophia Kistler;Möbel
LOPEC 2026, München;B0;;610;Meplan, München;INM - Leibniz-Institut für Neue Materialien gGmbH;3,00;Barhocker ZETT weiß;;1004;;;;Möbel;Jan Ressel;551446;24.02.2026;03.12.2025;Sophia Kistler;Möbel
LOPEC 2026, München;B0;;702;Meplan, München;Voltera Inc;1,00;MUNICH 160x70 Tischgestell, chrom;;2086;;;;Möbel;Jan Ressel;551555;24.02.2026;08.12.2025;Sophia Kistler;Möbel
LOPEC 2026, München;B0;;702;Meplan, München;Voltera Inc;1,00;MUNICH 160x70 Platte schwarz;;2100;;;;Möbel;Jan Ressel;551555;24.02.2026;08.12.2025;Sophia Kistler;Möbel
LOPEC 2026, München;B0;;703;E Ink Corporation, Billerica, Massachusetts;;1,00;Flaschenkühlschrank BOTTLE M Glas;;1090;;;;Möbel;Jan Ressel;551781;24.02.2026;07.01.2026;Jasna Pejic;Möbel
Inhorgenta 2026, München;B1;;115;Damaso Martínez, S.L., Bilbao;;1,00;Thekenschrank PURO COUNTER, weiß;;1388;;;;Möbel;Jan Ressel;551496;20.02.2026;02.12.2025;Jasna Pejic;Möbel
Inhorgenta 2026, München;B1;;117;ITALGOLD srl , VALENZA (AL);;2,00;Rollschrank DAVID weiß;;1380;;;;Möbel;Jan Ressel;551945;20.02.2026;15.01.2026;Jasna Pejic;Möbel
Inhorgenta 2026, München;B1;;129;Frey Wille GmbH & Co. KG, Wien;;1,00;MUNICH 160x70 Tischgestell, chrom;für Platte 160x70 weiß;2086;;;;Möbel;Jan Ressel;551707;20.02.2026;18.12.2025;Jasna Pejic;Möbel
Inhorgenta 2026, München;B1;;129;Frey Wille GmbH & Co. KG, Wien;;1,00;MUNICH 160x70 Platte weiß;für Gestell 160x70 chrom;2042;;;;Möbel;Jan Ressel;551707;20.02.2026;18.12.2025;Jasna Pejic;Möbel
Inhorgenta 2026, München;B1;;136;Elegance Jewellery International Limited, Kowloon;;8,00;Stuhl MUNICH anthrazit;in Sitzgruppe;1214;;;;Möbel;Jan Ressel;551503;20.02.2026;02.12.2025;Jasna Pejic;Möbel
Inhorgenta 2026, München;B1;;136;Elegance Jewellery International Limited, Kowloon;;2,00;MUNICH 70x70 Tischgestell, chrom;für PLatte 70x70 weiß;2043;;;;Möbel;Jan Ressel;551503;20.02.2026;02.12.2025;Jasna Pejic;Möbel
Inhorgenta 2026, München;B1;;136;Elegance Jewellery International Limited, Kowloon;;2,00;MUNICH 70x70 Platte weiß;für Gestell 70x70 chrom;2045;;;;Möbel;Jan Ressel;551503;20.02.2026;02.12.2025;Jasna Pejic;Möbel
IFAT 2026, München;B1;;139;Meplan, München;vatec-Maschinenbau GmbH;2,00;Prospektständer LEGIO 30;;1154;;;;Möbel;Sophia Kistler;551695;04.05.2026;18.12.2025;Sophia Kistler;Möbel
analytica 2026, München;B1;;212;Meplan, München;SKAN AG;4,00;Barhocker ZETT weiß;;1004;;;;Möbel;Sophia Kistler;551928;24.03.2026;19.01.2026;Sophia Kistler;Möbel
analytica 2026, München;B1;;212;Meplan, München;SKAN AG;2,00;NINO/ENNO DARK Stehtischgestell H 110cm, schwarz;für Platte 70cm rund schwarz;2109;;;;Möbel;Sophia Kistler;551928;24.03.2026;19.01.2026;Sophia Kistler;Möbel
analytica 2026, München;B1;;212;Meplan, München;SKAN AG;2,00;NINO 70 Tischplatte rund schwarz;für Stehtischgestell schwarz;2059;;;;Möbel;Sophia Kistler;551928;24.03.2026;19.01.2026;Sophia Kistler;Möbel
Inhorgenta 2026, München;B1;;215;Higher Visions GmbH, Oberhaching;Leo Wittwer;1,00;Garderobenständer DONNA;;1049;;;;Möbel;Sophia Kistler;551146;20.02.2026;13.11.2025;Sophia Kistler;Möbel
Inhorgenta 2026, München;B1;;219;SCHMUCKWERK;;1,00;Flaschenkühlschrank BOTTLE M;;1092;;;;Möbel;Oliver Ertl;551967;20.02.2026;23.01.2026;Julia Walch;Standbau
Inhorgenta 2026, München;B1;;219;SCHMUCKWERK;;1,00;Müllsackständer TRASH;;1184;;;;Möbel;Oliver Ertl;551967;20.02.2026;23.01.2026;Julia Walch;Standbau
Inhorgenta 2026, München;B1;;219;SCHMUCKWERK;;2,00;Stuhl CLAP schwarz;;1274;;;;Möbel;Oliver Ertl;551967;20.02.2026;23.01.2026;Julia Walch;Standbau
Inhorgenta 2026, München;B1;;220;Ernst Färber, München;;6,00;Stuhl SWING schwarz;;1245;;;;Möbel;Sophia Kistler;551554;20.02.2026;08.12.2025;Sophia Kistler;Möbel
Inhorgenta 2026, München;B1;;220;Ernst Färber, München;;5,00;Stuhl MUNICH schwarz;;1219;;;;Möbel;Sophia Kistler;551554;20.02.2026;08.12.2025;Sophia Kistler;Möbel
